Time (s)	Channel 1 (V)
-5.47875	-4.036391999856316
-5.4775	-3.969767417978621
-5.476249999999999	-3.906844201760769
-5.475	-3.843920985542975
-5.47375	-3.777296403665279
-5.4725	-3.714373187447485
-5.47125	-3.647748605569761
-5.47	-3.584825389351938
-5.46875	-3.518200807474243
-5.467499999999999	-3.462680322576136
-5.46625	-3.403458472018212
-5.465	-3.336833890140517
-5.46375	-3.270209308262852
-5.462499999999999	-3.203584726385096
-5.46125	-3.136960144507432
-5.46	-3.070335562629736
-5.45875	-3.003710980752071
-5.4575	-2.937086398874346
-5.45625	-2.870461816996651
-5.455	-2.803837235118956
-5.453749999999999	-2.737212653241229
-5.4525	-2.666886705703694
-5.45125	-2.600262123825998
-5.45	-2.533637541948333
-5.44875	-2.467012960070608
-5.4475	-2.396687012533041
-5.44625	-2.330062430655346
-5.444999999999999	-2.263437848777619
-5.44375	-2.193111901240083
-5.4425	-2.126487319362389
-5.44125	-2.056161371824853
-5.44	-1.985835424287254
-5.43875	-1.919210842409559
-5.4375	-1.848884894871992
-5.436249999999999	-1.778558947334393
-5.435	-1.708232999796858
-5.43375	-1.641608417919163
-5.4325	-1.567581104721757
-5.431249999999999	-1.500956522843996
-5.43	-1.430630575306461
-5.42875	-1.360304627768894
-5.4275	-1.289978680231359
-5.42625	-1.21965273269376
-5.425	-1.145625419496321
-5.42375	-1.075299471958754
-5.422499999999999	-1.004973524421155
-5.42125	-0.9346475768836197
-5.42	-0.8643216293460525
-5.41875	-0.7939956818085174
-5.4175	-0.7199683686110464
-5.41625	-0.6496424210734792
-5.415	-0.5793164735359122
-5.413749999999999	-0.5089905259983131
-5.4125	-0.4386645784607779
-5.41125	-0.3646372652633389
-5.41	-0.3054154147054146
-5.40875	-0.2350894671678205
-5.4075	-0.1647635196302534
-5.40625	-0.09443757209268631
-5.404999999999999	-0.02411162455508722
-5.40375	0.0462143229824479
-5.4025	0.116540270520015
-5.40125	0.1905675837174204
-5.399999999999999	0.2608935312550532
-5.39875	0.3312194787925883
-5.3975	0.4015454263301554
-5.39625	0.4755727395275607
-5.395	0.5458986870651615
-5.39375	0.6162246346027287
-5.3925	0.6902519478001677
-5.391249999999999	0.7605778953377668
-5.39	0.8309038428753019
-5.38875	0.901229790412869
-5.3875	0.9752571036102744
-5.38625	1.045583051147875
-5.385	1.115908998685442
-5.38375	1.18623494622301
-5.382499999999999	1.260262259420479
-5.38125	1.326886841298144
-5.38	1.397212788835711
-5.37875	1.467538736373246
-5.3775	1.537864683910845
-5.37625	1.608190631448412
-5.375	1.678516578985979
-5.373749999999999	1.748842526523578
-5.3725	1.819168474061113
-5.37125	1.88949442159868
-5.37	1.959820369136215
-5.368749999999999	2.026444951013975
-5.3675	2.09677089855151
-5.36625	2.167096846089077
-5.365	2.237422793626612
-5.36375	2.304047375504339
-5.3625	2.374373323041906
-5.36125	2.444699270579473
-5.359999999999999	2.511323852457201
-5.35875	2.581649799994736
-5.3575	2.648274381872431
-5.35625	2.714898963750096
-5.355	2.785224911287693
-5.35375	2.851849493165388
-5.3525	2.91107134372334
-5.351249999999999	2.977695925601063
-5.35	3.040619141818858
-5.34875	3.110945089356425
-5.3475	3.17756967123409
-5.34625	3.240492887451943
-5.345	3.307117469329639
-5.34375	3.377443416867206
-5.342499999999999	3.440366633085059
-5.34125	3.506991214962724
-5.34	3.573615796840419
-5.33875	3.640240378718084
-5.337499999999999	3.703163594935966
-5.33625	3.766086811153761
-5.335	3.832711393031456
-5.33375	3.899335974909121
-5.3325	3.962259191126974
-5.33125	4.025182407344797
-5.33	4.091806989222492
-5.328749999999999	4.154730205440345
-5.3275	4.217653421658139
-5.32625	4.280576637875962
-5.325	4.343499854093757
-5.32375	4.402721704651737
-5.3225	4.465644920869559
-5.32125	4.528568137087383
-5.319999999999999	4.591491353305233
-5.31875	4.650713203863157
-5.3175	4.713636420080981
-5.31625	4.772858270638905
-5.315	4.832080121196883
-5.31375	4.895003337414706
-5.3125	4.954225187972658
-5.311249999999999	5.013447038530636
-5.31	5.07266888908856
-5.30875	5.131890739646511
-5.3075	5.191112590204436
-5.306249999999999	5.246633075102569
-5.305	5.305854925660493
-5.30375	5.361375410558573
-5.3025	5.420597261116497
-5.30125	5.476117746014603
-5.3	5.535339596572554
-5.29875	5.587158715810761
-5.297499999999999	5.646380566368737
-5.29625	5.69819968560692
-5.295	5.750018804845127
-5.29375	5.79813655842344
-5.2925	5.853657043321542
-5.29125	5.909177528219622
-5.29	5.964698013117701
-5.288749999999999	6.016517132355932
-5.2875	6.068336251594116
-5.28625	6.120155370832323
-5.285	6.171974490070506
-5.28375	6.223793609308737
-5.2825	6.275612728546945
-5.28125	6.327431847785152
-5.279999999999999	6.379250967023382
-5.27875	6.427368720601695
-5.2775	6.479187839839902
-5.27625	6.527305593418215
-5.274999999999999	6.579124712656467
-5.27375	6.62724246623478
-5.2725	6.675360219813116
-5.27125	6.719776607731559
-5.27	6.767894361309915
