v1	V(n001)	V(n002)	I(D)
-9.190000000000017e+00	-3.187003e-08	-1.347781e+01	-1.348781e-11
-9.180000000000017e+00	-3.186533e-08	-1.347781e+01	-1.348781e-11
-9.170000000000018e+00	-3.186064e-08	-1.347781e+01	-1.348781e-11
-9.160000000000018e+00	-3.185595e-08	-1.347781e+01	-1.348781e-11
-9.150000000000018e+00	-3.185126e-08	-1.347781e+01	-1.348781e-11
-9.140000000000018e+00	-3.184657e-08	-1.347780e+01	-1.348780e-11
-9.130000000000019e+00	-3.184188e-08	-1.347780e+01	-1.348780e-11
-9.120000000000019e+00	-3.183719e-08	-1.347780e+01	-1.348780e-11
-9.110000000000019e+00	-3.183250e-08	-1.347780e+01	-1.348780e-11
-9.100000000000019e+00	-3.182781e-08	-1.347780e+01	-1.348780e-11
-9.090000000000019e+00	-3.182312e-08	-1.347780e+01	-1.348780e-11
-9.080000000000020e+00	-3.181843e-08	-1.347780e+01	-1.348780e-11
-9.070000000000020e+00	-3.181373e-08	-1.347780e+01	-1.348780e-11
-9.060000000000020e+00	-3.180904e-08	-1.347779e+01	-1.348779e-11
-9.050000000000020e+00	-3.180435e-08	-1.347779e+01	-1.348779e-11
-9.040000000000020e+00	-3.179966e-08	-1.347779e+01	-1.348779e-11
-9.030000000000021e+00	-3.179497e-08	-1.347779e+01	-1.348779e-11
-9.020000000000021e+00	-3.179028e-08	-1.347779e+01	-1.348779e-11
-9.010000000000021e+00	-3.178559e-08	-1.347779e+01	-1.348779e-11
-9.000000000000021e+00	-3.178090e-08	-1.347779e+01	-1.348779e-11
-8.990000000000022e+00	-3.177621e-08	-1.347779e+01	-1.348779e-11
-8.980000000000022e+00	-3.177152e-08	-1.347778e+01	-1.348778e-11
-8.970000000000022e+00	-3.176683e-08	-1.347778e+01	-1.348778e-11
-8.960000000000022e+00	-3.176213e-08	-1.347778e+01	-1.348778e-11
-8.950000000000022e+00	-3.175744e-08	-1.347778e+01	-1.348778e-11
-8.940000000000023e+00	-3.175276e-08	-1.347778e+01	-1.348778e-11
-8.930000000000023e+00	-3.174806e-08	-1.347778e+01	-1.348778e-11
-8.920000000000023e+00	-3.174337e-08	-1.347778e+01	-1.348778e-11
